,0,,
0,758.7526246,226,3.357312498
1,791.6329021,239,3.312271557
2,740.7724227,218,3.398038636
3,732.7301695,240,3.053042373
4,727.3848974,227,3.204338755
5,708.9958118,238,2.978973999
6,732.3096312,232,3.156507031
7,760.5527278,237,3.20908324
8,834.0148193,242,3.446342228
9,919.9785875,267,3.445612687
10,930.6991282,273,3.409154316
11,807.7839345,225,3.59015082
