,£0.00,Users,Cost per person(£)
0,£747.96,660,£1.13
1,£746.62,660,£1.13
2,£659.23,660,£1.00
3,£606.39,660,£0.92
4,£578.33,660,£0.88
5,£598.31,660,£0.91
6,£601.97,660,£0.91
7,£561.45,660,£0.85
8,£693.78,660,£1.05
9,£686.81,660,£1.04
10,£731.24,660,£1.11
11,£701.15,660,£1.06
