,0
0,125.56451612903226
1,125.44354838709677
2,124.59677419354838
3,122.29838709677418
4,122.90322580645163
5,119.15322580645172
6,117.82258064516131
7,116.97580645161293
8,116.85483870967742
9,116.12903225806451
10,116.9758064516129
11,115.40322580645162
12,113.58870967741936
13,113.46774193548387
14,111.29032258064517
15,110.44354838709675
16,109.35483870967742
17,105.6048387096774
18,105.84677419354838
19,105.84677419354838
20,105.84677419354838
21,102.94354838709684
22,101.73387096774195
23,101.73387096774194
24,100.16129032258063
25,99.91935483870968
26,98.46774193548384
27,95.92741935483869
28,95.68548387096774
29,95.68548387096774
30,89.03225806451613
31,87.45967741935482
32,86.49193548387096
33,84.91935483870967
34,81.77419354838706
35,80.56451612903228
36,78.26612903225812
37,77.17741935483873
38,75.60483870967741
39,73.91129032258064
40,71.49193548387093
41,69.6774193548387
42,67.98387096774192
43,67.86290322580645
44,65.56451612903223
45,64.4758064516129
46,63.62903225806452
47,62.78225806451613
48,62.78225806451613
49,61.209677419354826
50,59.5161290322581
51,57.822580645161324
52,56.85483870967741
53,56.008064516129025
54,53.70967741935482
55,52.62096774193547
56,51.77419354838709
57,50.201612903225794
58,48.6290322580645
59,48.266129032258064
60,47.54032258064515
61,47.41935483870968
62,47.41935483870968
63,46.69354838709676
64,46.57258064516129
65,46.57258064516129
66,45.846774193548406
67,46.57258064516129
68,45.120967741935466
69,43.42741935483869
70,41.73387096774192
71,41.49193548387097
72,40.76612903225806
73,40.645161290322584
74,39.91935483870967
75,39.07258064516129
76,38.2258064516129
77,37.37903225806451
78,35.80645161290321
79,35.564516129032256
80,33.38709677419353
81,33.024193548387096
82,32.298387096774185
83,31.4516129032258
84,30.604838709677413
85,29.032258064516114
86,28.79032258064516
87,28.064516129032253
88,27.217741935483865
89,24.919354838709655
90,25.645161290322566
91,23.104838709677406
92,21.411290322580633
93,19.717741935483858
94,20.322580645161292
95,19.475806451612904
96,18.749999999999993
97,18.749999999999993
98,19.475806451612904
99,19.475806451612904
100,20.322580645161292
101,20.322580645161292
102,19.59677419354838
103,18.749999999999993
104,18.629032258064516
105,16.451612903225787
106,16.330645161290324
107,16.088709677419356
108,15.362903225806443
109,14.39516129032258
110,15.241935483870968
111,13.064516129032251
112,12.701612903225806
113,13.548387096774194
114,12.701612903225806
115,12.701612903225806
116,12.701612903225806
117,11.249999999999986
118,11.129032258064521
119,11.008064516129032
120,21.290322580645153
121,21.290322580645167
122,21.290322580645153
123,20.443548387096765
124,20.322580645161292
125,18.870967741935484
126,19.475806451612904
127,20.322580645161292
128,18.629032258064516
129,18.629032258064516
130,17.903225806451605
131,17.782258064516128
132,17.782258064516128
133,16.93548387096774
134,16.93548387096774
135,16.93548387096774
136,16.93548387096774
137,16.93548387096774
138,17.78225806451613
139,17.05645161290323
140,16.93548387096774
141,17.782258064516128
142,15.241935483870968
143,15.483870967741948
144,16.088709677419356
145,16.209677419354843
146,16.93548387096774
147,17.05645161290323
148,16.088709677419356
149,15.241935483870968
150,6.895161290322573
151,7.620967741935484
152,7.741935483870974
153,7.620967741935484
154,6.774193548387097
155,5.201612903225799
156,5.080645161290323
157,5.080645161290323
158,5.080645161290323
159,5.080645161290323
160,5.080645161290323
161,5.080645161290323
162,5.080645161290323
163,5.080645161290323
164,5.080645161290323
165,4.354838709677412
166,3.3870967741935485
167,3.5080645161290382
168,3.3870967741935485
169,3.3870967741935485
170,3.3870967741935485
171,3.3870967741935485
172,3.3870967741935485
173,3.3870967741935485
174,2.6612903225806384
175,2.5403225806451615
176,2.5403225806451615
177,2.5403225806451615
178,2.5403225806451615
179,4.233870967741935
180,1038.991935483871
181,1038.1451612903227
182,1038.1451612903227
183,1038.1451612903227
184,1038.1451612903227
185,1038.1451612903227
186,1038.1451612903227
187,1038.1451612903227
188,1038.1451612903227
