,£0.00,Users,Cost per person(£)
0,£313.33,177,£1.77
1,£284.39,177,£1.61
2,£310.40,177,£1.75
3,£248.90,177,£1.41
4,£266.03,177,£1.50
5,£233.48,177,£1.32
6,£273.69,177,£1.55
7,£290.52,177,£1.64
8,£315.58,177,£1.78
9,£325.07,177,£1.84
10,£300.56,177,£1.70
11,£341.36,177,£1.93
