,£0.00,Users,Cost per person(£)
0,£977.15,660,£1.48
1,£964.43,660,£1.46
2,£919.19,660,£1.39
3,£807.81,660,£1.22
4,£886.30,660,£1.34
5,£812.31,660,£1.23
6,£803.34,660,£1.22
7,£749.11,660,£1.14
8,£946.14,660,£1.43
9,£934.19,660,£1.42
10,£934.05,660,£1.42
11,£939.11,660,£1.42
