,£0.00,Users,Cost per person(£)
0,£265.43,177,£1.50
1,£251.32,177,£1.42
2,£248.58,177,£1.40
3,£196.49,177,£1.11
4,£221.64,177,£1.25
5,£215.86,177,£1.22
6,£226.31,177,£1.28
7,£224.72,177,£1.27
8,£240.55,177,£1.36
9,£268.26,177,£1.52
10,£278.30,177,£1.57
11,£304.20,177,£1.72
