,£0.00,Users,Cost per person(£)
0,£808.97,660,£1.23
1,£798.07,660,£1.21
2,£761.77,660,£1.15
3,£651.15,660,£0.99
4,£716.89,660,£1.09
5,£663.97,660,£1.01
6,£661.61,660,£1.00
7,£612.04,660,£0.93
8,£773.42,660,£1.17
9,£760.13,660,£1.15
10,£792.61,660,£1.20
11,£784.22,660,£1.19
