,0,,
0,741.7568683,226,3.282110037
1,777.4143759,239,3.252779815
2,699.6186834,218,3.209260015
3,695.1257013,240,2.896357089
4,678.4853691,227,2.988922331
5,702.1762398,238,2.950320335
6,700.6421179,232,3.020009129
7,727.8286984,237,3.071007166
8,781.970502,242,3.231283066
9,864.3246804,267,3.237171088
10,906.6419524,273,3.321032793
11,765.6414909,225,3.402851071
